fps,sil_steps,sil_num_episodes,value_loss,total_timesteps,explained_variance,best_episode_reward,episode_reward,nupdates,sil_valid_samples,policy_entropy
1030,100000.0,210.0,0.0019229620229452848,7104000,0.9764320310205221,400.0,400.0,22200,314.0,2.2830185890197754
1029,100000.0,210.0,0.0011517468374222517,7136000,0.9879574980586767,400.0,400.0,22300,447.0,2.0437655448913574
1029,100000.0,205.0,0.002033473923802376,7168000,0.9886525636538863,400.0,400.0,22400,124.0,2.121370792388916
1029,100000.0,206.0,0.0019388834480196238,7200000,0.9847220852971077,400.0,400.0,22500,441.0,2.1420230865478516
1028,100000.0,204.0,0.002000126987695694,7232000,0.9759045541286469,400.0,400.0,22600,393.0,2.2018580436706543
1028,100000.0,205.0,0.001995858270674944,7264000,0.9890210432931781,400.0,400.0,22700,211.0,1.973021149635315
1028,100000.0,211.0,0.0012194199953228235,7296000,0.9923532847315073,400.0,400.0,22800,277.0,2.191847324371338
1028,100000.0,223.0,0.00043582962825894356,7328000,0.9967430355027318,400.0,400.0,22900,317.0,2.2671074867248535
1027,100000.0,212.0,0.001685157767497003,7360000,0.9900279156863689,400.0,400.0,23000,194.0,2.117720603942871
1027,100000.0,210.0,0.0010333466343581676,7392000,0.9928843365050852,400.0,400.0,23100,233.0,1.9737637042999268
1027,100000.0,207.0,0.0005796306068077683,7424000,0.9945421502925456,400.0,400.0,23200,267.0,2.292999744415283
1027,100000.0,208.0,0.0037688694428652525,7456000,0.9663362763822079,400.0,400.0,23300,478.0,2.002452850341797
