total_timesteps,fps,sil_num_episodes,sil_steps,episode_reward,nupdates,policy_entropy,approxkl,episode_raw_reward,policy_loss,serial_timesteps,time_elapsed,value_loss,clipfrac,sil_valid_samples,best_episode_reward,explained_variance
8929280,2140,0.0,0.0,-0.05,1090,2.724269,0.0033446157,-5.0,-0.005581407,139520,4592.123793363571,5.9207712e-05,0.035095215,0.0,0.0,-0.7732577323913574
9011200,2107,0.0,0.0,0.0,1100,2.663868,0.0027809695,0.0,-0.004730321,140800,4629.632889509201,4.903162e-05,0.02508545,0.0,0.0,-1.5970540046691895
9093120,2118,0.0,0.0,0.0,1110,2.6281395,0.0030793073,0.0,-0.0059090327,142080,4667.763077735901,3.8116632e-05,0.032562256,0.0,0.0,-3.0691022872924805
9175040,2253,0.0,0.0,0.0,1120,2.5053372,0.0027466267,0.0,-0.0048658545,143360,4705.45582652092,4.1240502e-05,0.022399902,0.0,0.0,-2.4059231281280518
9256960,2122,0.0,0.0,0.0,1130,2.5861087,0.0035237996,0.0,-0.0050286716,144640,4743.723142385483,3.269529e-05,0.03967285,0.0,0.0,-2.5127439498901367
9338880,2177,0.0,0.0,0.0,1140,2.5945036,0.0022236337,0.0,-0.003996529,145920,4781.758774518967,2.8316079e-05,0.014282227,0.0,0.0,-3.014169216156006
9420800,2158,0.0,0.0,0.0,1150,2.5136364,0.0030379058,0.0,-0.0057976786,147200,4819.375036239624,2.2714488e-05,0.026794434,0.0,0.0,-4.892628192901611
9502720,2127,0.0,0.0,0.0,1160,2.5068645,0.003225394,0.0,-0.0052070105,148480,4857.808339834213,2.9598543e-05,0.03161621,0.0,0.0,-2.655534029006958
9584640,2154,0.0,0.0,0.0,1170,2.6067119,0.0016289332,0.0,-0.0038565393,149760,4896.58100271225,0.01132468,0.011169434,0.0,0.0,-0.0019404888153076172
9666560,2083,0.0,0.0,0.0,1180,2.6615276,0.0034656934,0.0,-0.005676097,151040,4935.0984489917755,2.8645321e-05,0.032806396,0.0,0.0,-2.808772563934326
9748480,2069,0.0,0.0,0.0,1190,2.6375973,0.00460111,0.0,-0.0062795,152320,4973.58425283432,2.4211624e-05,0.041259766,0.0,0.0,-2.363402843475342
9830400,2143,0.0,0.0,0.0,1200,2.6783292,0.0030352208,0.0,-0.00610901,153600,5012.22069144249,2.2733133e-05,0.0256958,0.0,0.0,-0.9637236595153809
9912320,2101,0.0,0.0,0.0,1210,2.6740081,0.0015119622,0.0,-0.0042524952,154880,5051.143859386444,0.000108824206,0.007385254,0.0,0.0,-0.736321210861206
9994240,2204,0.0,0.0,0.0,1220,2.6691027,0.00410109,0.0,-0.0057567474,156160,5089.359406471252,5.1513947e-05,0.04800415,0.0,0.0,-0.5903443098068237
10076160,2141,0.0,0.0,0.0,1230,2.6552424,0.0025854725,0.0,-0.005901144,157440,5127.6872091293335,3.1853713e-05,0.025146484,0.0,0.0,-3.0600290298461914
10158080,2152,0.0,0.0,0.0,1240,2.601809,0.002900547,0.0,-0.006349899,158720,5165.5995280742645,2.0345933e-05,0.0289917,0.0,0.0,-1.955827236175537
10240000,2087,0.0,0.0,-0.025,1250,2.51701,0.0025790792,-2.5,-0.0066932165,160000,5204.11172747612,2.9592726e-05,0.025299072,0.0,0.0,-5.023666858673096
10321920,2123,0.0,0.0,0.0,1260,2.5377839,0.0031192815,0.0,-0.0073441416,161280,5242.733892917633,2.8162212e-05,0.026977539,0.0,0.0,-2.4399049282073975
10403840,2095,0.0,0.0,0.0,1270,2.4904978,0.0050899116,0.0,-0.0065216087,162560,5282.179630994797,3.0482961e-05,0.03805542,0.0,0.0,-0.9855172634124756
10485760,2079,0.0,0.0,0.0,1280,2.494409,0.003003885,0.0,-0.0059781675,163840,5321.378871202469,2.5669744e-05,0.026672363,0.0,0.0,-1.4404144287109375
10567680,2128,0.0,0.0,0.0,1290,2.4642305,0.0029159435,0.0,-0.0054068137,165120,5360.317328214645,2.01097e-05,0.028839111,0.0,0.0,-0.6309854984283447
