episode_raw_reward,value_loss,sil_num_episodes,nupdates,policy_loss,policy_entropy,total_timesteps,episode_reward,serial_timesteps,time_elapsed,approxkl,explained_variance,clipfrac,sil_valid_samples,sil_steps,best_episode_reward,fps
400.0,5.492943e-05,108.0,45180,-0.0052742753,2.05918,370114560,2.0,5783040,190332.30197548866,0.001998868,0.9994106712401845,0.013977051,512.0,50000.0,400.0,1914
400.0,5.0591054e-05,107.0,45190,-0.0053592804,2.0600271,370196480,2.0,5784320,190374.69025206566,0.002502579,0.9995426523964852,0.016967773,512.0,50000.0,400.0,1922
400.0,4.378518e-05,107.0,45200,-0.005840418,2.2104857,370278400,2.0,5785600,190417.43943953514,0.0027752277,0.9995057921623811,0.013000488,512.0,50000.0,400.0,1883
400.0,0.00051584985,115.0,45210,-0.010156411,2.1604586,370360320,2.0,5786880,190459.82624530792,0.0031877477,0.9950668411329389,0.013244629,512.0,50000.0,400.0,1925
400.0,0.000322787,112.0,45220,-0.00949186,2.0777454,370442240,2.0,5788160,190502.2155971527,0.0029387297,0.9971382992807776,0.009857178,512.0,50000.0,400.0,1880
400.0,7.080104e-05,119.0,45230,-0.006502604,2.088019,370524160,2.0,5789440,190544.7683880329,0.0040878663,0.9993646940565668,0.016052246,512.0,50000.0,400.0,1948
400.0,2.933271e-05,116.0,45240,-0.0053908215,2.3840675,370606080,2.0,5790720,190587.17842197418,0.0029710145,0.9996104474412277,0.01171875,512.0,50000.0,400.0,1935
400.0,0.002145457,104.0,45250,-0.008457702,2.3377397,370688000,2.0,5792000,190629.66376376152,0.0077393246,0.962603747844696,0.017120361,512.0,50000.0,400.0,1888
400.0,5.4907836e-05,103.0,45260,-0.004706435,2.0367444,370769920,2.0,5793280,190672.76442193985,0.0027259868,0.9995017733308487,0.018981934,512.0,50000.0,400.0,1869
400.0,0.00014546573,121.0,45270,-0.0079219155,2.079277,370851840,2.0,5794560,190715.50834989548,0.005914352,0.998320379992947,0.017333984,512.0,50000.0,400.0,1972
400.0,3.2742762e-05,118.0,45280,-0.004885414,2.1101851,370933760,2.0,5795840,190758.24556827545,0.0024813847,0.9996885772561654,0.014129639,512.0,50000.0,400.0,1957
400.0,3.377864e-05,120.0,45290,-0.006618215,2.2109122,371015680,2.0,5797120,190801.06798672676,0.004157264,0.9996648534142878,0.016967773,512.0,50000.0,400.0,1913
400.0,0.000449356,117.0,45300,-0.009492663,2.1299813,371097600,2.0,5798400,190843.54518699646,0.0053865435,0.9955913466401398,0.013427734,512.0,50000.0,400.0,1871
400.0,5.2590025e-05,119.0,45310,-0.0061208713,2.2221541,371179520,2.0,5799680,190886.0465874672,0.00533087,0.9993520961143076,0.019470215,512.0,50000.0,400.0,1924
400.0,0.00059074303,114.0,45320,-0.009809432,2.2172964,371261440,2.0,5800960,190928.6233010292,0.0021794913,0.9936799821443856,0.017059326,512.0,50000.0,400.0,2021
400.0,6.587649e-05,115.0,45330,-0.007032552,2.2861953,371343360,2.0,5802240,190971.30194473267,0.0032279552,0.9991213922621682,0.017120361,512.0,50000.0,400.0,1933
400.0,5.578718e-05,109.0,45340,-0.0056773378,2.1701782,371425280,2.0,5803520,191013.6828904152,0.004511604,0.9994925208156928,0.01852417,512.0,50000.0,400.0,2005
400.0,7.6891716e-05,112.0,45350,-0.0049970034,2.0136833,371507200,2.0,5804800,191056.33612012863,0.0023477564,0.9992529941955581,0.019683838,512.0,50000.0,400.0,1937
400.0,8.282342e-05,109.0,45360,-0.010323087,2.1252172,371589120,2.0,5806080,191098.59787511826,0.0074472986,0.9991295535000972,0.0262146,512.0,50000.0,400.0,1948
400.0,4.040678e-05,114.0,45370,-0.0075319153,2.2139874,371671040,2.0,5807360,191141.27752780914,0.0035634171,0.9995886876131408,0.018035889,512.0,50000.0,400.0,1893
392.5,5.116264e-05,105.0,45380,-0.006139851,2.0843806,371752960,1.975,5808640,191183.3950533867,0.0035053534,0.9994968328392133,0.020202637,512.0,50000.0,400.0,1920
400.0,3.8542617e-05,102.0,45390,-0.0055334317,2.1470878,371834880,2.0,5809920,191225.40760421753,0.0021214718,0.999602601659717,0.014770508,512.0,50000.0,400.0,1880
400.0,4.188372e-05,108.0,45400,-0.005866439,2.1035745,371916800,2.0,5811200,191267.811314106,0.0024335724,0.9995974818884861,0.016845703,512.0,50000.0,400.0,1949
400.0,0.00048382452,110.0,45410,-0.0073961047,2.1699793,371998720,2.0,5812480,191310.7783753872,0.004069899,0.9951481143943965,0.014434814,512.0,50000.0,400.0,1945
400.0,4.2184445e-05,99.0,45420,-0.0072229602,2.0777075,372080640,2.0,5813760,191353.76354813576,0.0032429593,0.9996328406268731,0.014404297,512.0,50000.0,400.0,1821
400.0,3.0376752e-05,112.0,45430,-0.006153934,2.2956805,372162560,2.0,5815040,191396.23633241653,0.0019693587,0.9996830130985472,0.012512207,512.0,50000.0,400.0,2090
400.0,3.3442055e-05,112.0,45440,-0.005581904,2.1065774,372244480,2.0,5816320,191438.63237905502,0.003524793,0.9996696311281994,0.021148682,512.0,50000.0,400.0,1958
400.0,3.762626e-05,111.0,45450,-0.006337298,2.1505911,372326400,2.0,5817600,191481.42335224152,0.0047283587,0.9996102472650819,0.012420654,512.0,50000.0,400.0,1927
400.0,7.3504736e-05,104.0,45460,-0.0073582185,2.1275356,372408320,2.0,5818880,191523.45610809326,0.0033601746,0.9992688671336509,0.015136719,512.0,50000.0,400.0,1934
400.0,6.521529e-05,117.0,45470,-0.0062669246,2.2141762,372490240,2.0,5820160,191566.04235315323,0.0064382916,0.9993387975264341,0.013031006,512.0,50000.0,400.0,1854
400.0,0.00039356982,110.0,45480,-0.003430341,2.21241,372572160,2.0,5821440,191608.3035607338,0.003081404,0.996143986703828,0.012298584,512.0,50000.0,400.0,1879
400.0,0.00011535379,112.0,45490,-0.0062422063,2.031246,372654080,2.0,5822720,191650.57917141914,0.002871997,0.9986908433493227,0.017669678,512.0,50000.0,400.0,1962
400.0,0.00012235537,114.0,45500,-0.006519981,2.2174683,372736000,2.0,5824000,191693.2839076519,0.0022111626,0.9986974212806672,0.0152282715,512.0,50000.0,400.0,1914
400.0,9.921408e-05,108.0,45510,-0.006690115,2.176248,372817920,2.0,5825280,191735.7291955948,0.004276188,0.999040218826849,0.012756348,512.0,50000.0,400.0,1810
400.0,5.208677e-05,114.0,45520,-0.0077004824,2.2261648,372899840,2.0,5826560,191778.36482024193,0.0024526338,0.9994382628356107,0.021148682,512.0,50000.0,400.0,1912
400.0,4.648397e-05,110.0,45530,-0.0064184247,2.0972068,372981760,2.0,5827840,191820.27390408516,0.0075148675,0.9996079936099704,0.019165039,512.0,50000.0,400.0,1917
400.0,5.5819128e-05,104.0,45540,-0.0071057095,2.2487428,373063680,2.0,5829120,191862.63643956184,0.0031786978,0.9994353050133213,0.015380859,512.0,50000.0,400.0,2084
400.0,3.283979e-05,105.0,45550,-0.0071956073,2.3459651,373145600,2.0,5830400,191905.3127579689,0.0044917883,0.9996154402324464,0.015380859,512.0,50000.0,400.0,1971
