episode_raw_reward,time_elapsed,nupdates,explained_variance,sil_num_episodes,policy_entropy,sil_valid_samples,serial_timesteps,value_loss,approxkl,episode_reward,clipfrac,fps,policy_loss,sil_steps,best_episode_reward,total_timesteps
-44.775,267421.45128917694,75950,0.07992160320281982,0.0,2.7614481,0.0,9721600,0.034687746,0.00042252507,-4.275,0.0048217773,2437,-0.0029526926,0.0,0.0,622182400
-46.725,267455.601074934,75960,-0.0018434524536132812,0.0,2.7691107,0.0,9722880,0.26778558,9.802938e-05,-4.175,0.0008544922,2478,-8.8956425e-05,0.0,0.0,622264320
-30.0,267491.13530778885,75970,-0.0006166696548461914,0.0,2.7531486,0.0,9724160,0.1877685,0.00015385568,-0.3,0.001373291,1953,-3.0455209e-05,0.0,0.0,622346240
-59.575,267525.5050601959,75980,-0.6816577911376953,0.0,2.7266634,0.0,9725440,0.001858753,0.007934701,-3.825,0.012023926,2406,-0.0026002931,0.0,0.0,622428160
-81.425,267559.84647011757,75990,-0.004991769790649414,0.0,2.7447875,0.0,9726720,0.19123912,0.00018896085,-10.375,0.0018615723,2391,-0.00017649386,0.0,0.0,622510080
-36.375,267594.75690078735,76000,0.09078025817871094,0.0,2.7625644,0.0,9728000,0.02193164,0.0021261063,-2.65,0.0058288574,2431,-0.003424819,0.0,0.0,622592000
-79.05,267628.9585092068,76010,0.20925766229629517,0.0,2.7028646,0.0,9729280,0.026498288,0.0018010158,-8.375,0.010040283,2383,-0.0044151214,0.0,0.0,622673920
-18.9,267663.9743180275,76020,-1.6203703880310059,0.0,2.8202431,0.0,9730560,0.0007840485,0.0060380683,-0.575,0.0063171387,2409,-0.0036011185,0.0,0.0,622755840
-43.75,267697.64155602455,76030,-0.0004056692123413086,0.0,2.7855089,0.0,9731840,0.558557,6.555855e-05,-0.775,0.00061035156,2398,-5.2788622e-05,0.0,0.0,622837760
-53.875,267733.23348641396,76040,-0.0024030208587646484,0.0,2.765359,0.0,9733120,0.10304758,0.00013734396,-1.525,0.0015869141,1918,-0.00013088266,0.0,0.0,622919680
-30.675,267767.61792707443,76050,-0.1346219778060913,0.0,2.800855,0.0,9734400,0.0014829224,0.00050601584,-2.425,0.0047302246,2385,-0.0012720227,0.0,0.0,623001600
-23.65,267802.55070614815,76060,-0.011446714401245117,0.0,2.827821,0.0,9735680,0.00082465285,0.00032230045,-0.55,0.0032043457,1945,-0.0006203279,0.0,0.0,623083520
-45.75,267836.8450989723,76070,-0.17914295196533203,0.0,2.8011713,0.0,9736960,0.0014543626,0.0019468234,-2.0,0.0063476562,2404,-0.0017060055,0.0,0.0,623165440
-39.25,267870.88886475563,76080,-0.005574703216552734,0.0,2.7618518,0.0,9738240,0.0012235568,0.032422386,-3.4,0.004211426,2466,-0.0010228175,0.0,0.0,623247360
-47.875,267905.9480111599,76090,-0.028545856475830078,0.0,2.7360408,0.0,9739520,0.0013891746,0.0032526983,-2.575,0.009155273,2391,-0.0011573388,0.0,0.0,623329280
-21.75,267940.749263525,76100,-0.5377494096755981,0.0,2.7955642,0.0,9740800,0.0003210041,0.0048313956,-1.3,0.009002686,2417,-0.0044806637,0.0,0.0,623411200
-62.125,267975.9926915169,76110,0.006740868091583252,0.0,2.615161,0.0,9742080,0.13710813,0.0016247707,-5.85,0.01361084,2368,-0.0014512688,0.0,0.0,623493120
-44.55,268010.5607767105,76120,0.07571226358413696,0.0,2.7351263,0.0,9743360,0.008738834,0.0015338433,-1.725,0.007232666,2409,-0.0038973824,0.0,0.0,623575040
-27.15,268045.3758571148,76130,-8.58306884765625e-06,0.0,2.786007,0.0,9744640,0.2976212,0.00037555693,-0.825,0.004333496,2438,-0.00016916254,0.0,0.0,623656960
-29.75,268080.1391336918,76140,-0.1701829433441162,0.0,2.7697406,0.0,9745920,0.0019787452,0.0008691494,-0.9,0.0048828125,2356,-0.0013342823,0.0,0.0,623738880
-29.25,268115.66110777855,76150,-0.0007507801055908203,0.0,2.7031803,0.0,9747200,1.1017257,0.0004040387,-0.8,0.003692627,2331,-3.561887e-05,0.0,0.0,623820800
-52.95,268150.0817849636,76160,0.0006963014602661133,0.0,2.7584398,0.0,9748480,0.59485245,6.9158006e-05,-6.0,0.0006713867,2412,-0.00010568264,0.0,0.0,623902720
-41.0,268184.46503686905,76170,-7.11679458618164e-05,0.0,2.794479,0.0,9749760,0.034790583,7.9826976e-05,-5.7,0.0008239746,2453,-8.1709266e-05,0.0,0.0,623984640
-55.35,268219.0051164627,76180,0.05215799808502197,0.0,2.7425706,0.0,9751040,0.02747829,0.0038856408,-5.725,0.010803223,2393,-0.0060638916,0.0,0.0,624066560
-27.175,268254.3969194889,76190,-0.002118825912475586,0.0,2.7222784,0.0,9752320,0.5136295,0.0010099509,-2.975,0.0059509277,2440,-0.00015710831,0.0,0.0,624148480
-42.925,268288.778239727,76200,-0.5142515897750854,0.0,2.709088,0.0,9753600,0.0010185968,0.0054224483,-6.95,0.011444092,2409,-0.00419816,0.0,0.0,624230400
-22.35,268323.7197005749,76210,-0.023285746574401855,0.0,2.6767466,0.0,9754880,0.017862933,0.06595392,-2.225,0.008605957,1976,-0.002939721,0.0,0.0,624312320
-14.7,268358.282443285,76220,-0.12079513072967529,0.0,2.7528133,0.0,9756160,0.0018389412,0.0009769177,-0.775,0.00491333,2345,-0.0015024778,0.0,0.0,624394240
-11.1,268392.7031879425,76230,-0.17005693912506104,0.0,2.738935,0.0,9757440,0.0011416235,0.0011756944,-0.425,0.007843018,2338,-0.0015198254,0.0,0.0,624476160
-20.25,268427.8020410538,76240,-0.0007265806198120117,0.0,2.686591,0.0,9758720,0.44053608,0.0004572886,-1.025,0.0043945312,2364,-0.0004024888,0.0,0.0,624558080
-31.425,268462.2593617439,76250,-2.008538007736206,0.0,2.7758665,0.0,9760000,0.0011494211,0.0012870063,-1.4,0.011413574,2340,-0.0047278665,0.0,0.0,624640000
-34.0,268497.2015631199,76260,0.22015666961669922,0.0,2.6859326,0.0,9761280,0.06613427,0.013428106,-5.3,0.0121154785,2403,-0.004389769,0.0,0.0,624721920
-26.675,268531.8529717922,76270,0.09667497873306274,0.0,2.6993241,0.0,9762560,0.036358472,0.0007921216,-2.6,0.004333496,2372,-0.002708271,0.0,0.0,624803840
-19.825,268567.03925299644,76280,0.026595115661621094,0.0,2.7212806,0.0,9763840,0.17097193,0.0004972139,-2.8,0.0043945312,2375,-0.0012195793,0.0,0.0,624885760
