policy_entropy,serial_timesteps,episode_reward,best_episode_reward,sil_num_episodes,sil_valid_samples,fps,approxkl,value_loss,explained_variance,episode_raw_reward,clipfrac,time_elapsed,sil_steps,policy_loss,total_timesteps,nupdates
2.2450242,157440,0.025,100.0,14.0,489.0,2253,0.0076089236,4.3456416e-06,-1.968484878540039,2.5,0.08630371,4811.207228183746,47834.0,-0.018520733,10076160,1230
2.0510006,158720,0.0,100.0,14.0,503.0,2287,0.0073286197,1.8384033e-05,-0.03717517852783203,0.0,0.09289551,4848.175927400589,47834.0,-0.021283267,10158080,1240
2.0947225,160000,0.0,100.0,14.0,509.0,1852,0.0069615003,1.8917384e-06,0.23421859741210938,0.0,0.08404541,4888.847400903702,47834.0,-0.018675137,10240000,1250
2.0963407,161280,0.0,100.0,14.0,504.0,1834,0.0076635024,2.394117e-05,-0.7634934186935425,0.0,0.09933472,4933.707788944244,47834.0,-0.020998308,10321920,1260
1.9334005,162560,0.0,400.0,13.0,468.0,1876,0.0068935854,7.3625774e-06,0.1681390404701233,0.0,0.08679199,4979.000825166702,50000.0,-0.021124538,10403840,1270
1.8628644,163840,0.0,400.0,13.0,510.0,1866,0.008632338,1.372246e-05,0.2004956603050232,0.0,0.12023926,5023.410206079483,50000.0,-0.021039234,10485760,1280
1.9160893,165120,0.0,400.0,13.0,507.0,1847,0.007242375,6.139309e-06,-2.125641345977783,0.0,0.10101318,5067.228125810623,50000.0,-0.021325506,10567680,1290
1.7188363,166400,0.0,400.0,13.0,500.0,1856,0.009182302,5.9882845e-05,-0.40046513080596924,0.0,0.12530518,5111.171178102493,50000.0,-0.020868571,10649600,1300
1.7251581,167680,0.0,400.0,13.0,508.0,1876,0.007964772,1.6820139e-06,-3.385136127471924,0.0,0.10708618,5155.527018547058,50000.0,-0.020404698,10731520,1310
1.6533105,168960,0.0,400.0,13.0,509.0,1875,0.007998408,3.019515e-06,0.1522260308265686,0.0,0.111328125,5199.77205657959,50000.0,-0.020145407,10813440,1320
1.6390696,170240,0.0,400.0,13.0,509.0,1896,0.006650403,8.735099e-07,-0.6068487167358398,0.0,0.08657837,5244.068119287491,50000.0,-0.021140063,10895360,1330
1.5359981,171520,0.0,400.0,13.0,510.0,1869,0.007870293,3.3119138e-06,-2.073805809020996,0.0,0.10461426,5288.387534856796,50000.0,-0.02149889,10977280,1340
1.5377116,172800,0.05,400.0,12.0,357.0,2212,0.01092929,9.752583e-06,-0.5673309564590454,10.0,0.14266968,5326.306201696396,50000.0,-0.023446072,11059200,1350
1.4731281,174080,0.0,400.0,12.0,507.0,2306,0.008081792,9.927617e-07,0.38705015182495117,0.0,0.10809326,5362.458525419235,50000.0,-0.021077614,11141120,1360
1.5016592,175360,0.0,400.0,12.0,506.0,1868,0.007935524,9.017929e-06,-0.6144405603408813,0.0,0.099609375,5403.423184871674,50000.0,-0.020377375,11223040,1370
1.4264841,176640,0.0,400.0,12.0,505.0,1869,0.0078114877,4.760954e-06,-0.18500161170959473,0.0,0.099731445,5447.771593809128,50000.0,-0.019185713,11304960,1380
1.6234715,177920,0.0,400.0,12.0,509.0,1830,0.008272966,9.689446e-07,-0.43449175357818604,0.0,0.10586548,5491.5837569236755,50000.0,-0.020511348,11386880,1390
1.5982306,179200,0.0,400.0,12.0,511.0,1872,0.0100272745,2.1315261e-06,-0.30265891551971436,0.0,0.12185669,5535.890798330307,50000.0,-0.021038782,11468800,1400
1.6122261,180480,0.0,400.0,12.0,508.0,1768,0.009393044,1.0824212e-05,-0.5817040205001831,0.0,0.12075806,5580.202228546143,50000.0,-0.021257393,11550720,1410
1.7526484,181760,0.0,400.0,12.0,509.0,1865,0.008210976,1.02501135e-05,-1.068753957748413,0.0,0.10733032,5624.0998878479,50000.0,-0.017949428,11632640,1420
1.8724065,183040,0.0,400.0,12.0,509.0,1872,0.007907527,4.3595146e-06,-3.2300667762756348,0.0,0.097961426,5668.249386310577,50000.0,-0.01572344,11714560,1430
